11.0 , 37.7
37.0 , 89.3
34.0 , 83.0
14.0 , 43.0
41.0 , 97.5
1.0 , 17.6
48.0 , 111.2
45.0 , 105.8
45.0 , 105.4
42.0 , 99.2
4.0 , 23.3
5.0 , 25.5
6.0 , 27.6
33.0 , 81.7
2.0 , 19.8
31.0 , 77.8
15.0 , 45.1
23.0 , 61.4
28.0 , 71.1
17.0 , 49.3
17.0 , 49.1
45.0 , 105.9
19.0 , 53.3
20.0 , 55.2
14.0 , 44.0
7.0 , 29.3
43.0 , 101.3
17.0 , 49.0
9.0 , 33.7
4.0 , 23.7
39.0 , 93.0
33.0 , 81.0
16.0 , 47.8
31.0 , 77.7
42.0 , 99.7
16.0 , 47.8
11.0 , 37.3
11.0 , 37.9
35.0 , 85.1
0.0 , 15.6
50.0 , 115.8
27.0 , 69.9
13.0 , 41.7
24.0 , 63.4
40.0 , 95.7
47.0 , 110.0
4.0 , 23.1
38.0 , 92.0
40.0 , 95.8
48.0 , 111.2
8.0 , 31.0
37.0 , 89.9
48.0 , 111.4
43.0 , 101.8
49.0 , 113.2
7.0 , 29.4
20.0 , 55.4
1.0 , 17.8
28.0 , 72.0
14.0 , 43.8
24.0 , 63.8
45.0 , 105.1
40.0 , 95.1
42.0 , 99.5
14.0 , 43.8
39.0 , 93.9
28.0 , 71.9
37.0 , 89.7
50.0 , 115.0
2.0 , 19.8
40.0 , 95.3
23.0 , 61.2
35.0 , 85.0
15.0 , 45.2
42.0 , 99.2
0.0 , 16.0
10.0 , 35.7
4.0 , 23.4
29.0 , 73.7
31.0 , 77.7
39.0 , 93.9
39.0 , 93.1
31.0 , 77.1
19.0 , 53.9
15.0 , 45.6
42.0 , 100.0
17.0 , 50.0
27.0 , 69.0
26.0 , 67.1
2.0 , 19.7
25.0 , 65.6
48.0 , 111.4
1.0 , 17.6
26.0 , 67.1
27.0 , 69.8
46.0 , 107.2
17.0 , 49.6
43.0 , 101.5
46.0 , 107.1
3.0 , 21.6
9.0 , 33.7
46.0 , 107.1
41.0 , 97.2
48.0 , 111.2
0.0 , 15.5
42.0 , 99.1
45.0 , 105.3
29.0 , 73.7
8.0 , 31.1
32.0 , 79.5
21.0 , 57.3
26.0 , 67.5
46.0 , 107.9
12.0 , 39.2
30.0 , 75.4
48.0 , 111.9
34.0 , 84.0
22.0 , 59.7
29.0 , 73.8
39.0 , 93.1
30.0 , 75.5
13.0 , 41.9
11.0 , 37.8
42.0 , 99.8
0.0 , 15.5
14.0 , 43.9
5.0 , 25.8
26.0 , 67.6
10.0 , 35.3
21.0 , 57.3
24.0 , 63.2
8.0 , 32.0
34.0 , 83.4
36.0 , 88.0
13.0 , 41.7
37.0 , 89.7
14.0 , 43.4
31.0 , 77.6
